,PID_tunerPPO_high_torque_mode:PID,PID_tunerPPO_high_torque_mode:RL,PID_tunerPPO_low_torque_mode:PID,PID_tunerPPO_low_torque_mode:RL
105,-0.36797935,-2.2231855,-1.1329976,-2.0123365
106,-0.5527805,-1.6529483,-0.9252551,-1.1949106
107,-1.6870419,-1.3804795,-1.4621259,-1.3214346
108,-0.7101291,-1.4504743,-1.3497297,-1.112466
109,-1.8198644,-1.0046881,-1.4220008,-1.1047229
110,-0.83336866,-0.92892915,-1.4183662,-0.59665924
111,-0.6575206,-1.0562569,-1.0290948,-1.4040742
112,-1.3275821,-1.3750432,-0.7530953,-1.1779321
113,-1.5772486,-1.005626,-0.33666146,-1.5454465
114,-1.557456,-0.8849741,-1.3090234,-1.2578701
115,-1.2970215,-0.7227653,-0.9874289,-1.4289469
116,-0.86530226,-1.1568134,-0.9446118,-1.2384434
117,-1.9384271,-1.3274608,-1.348489,-1.2730157
118,-0.8498274,-1.6082776,-0.40089673,-1.6730728
119,-1.11821,-1.0282358,-0.68011767,-0.9065186
120,-1.3426443,-1.7361101,-1.473471,-0.89007676
121,-0.91130996,-0.5401805,-1.0056648,-1.4923004
122,-1.4085388,-1.1219722,-1.4256568,-1.4941043
123,-1.5435635,-0.8031124,-0.91265565,-1.0994586
124,-1.1681087,-1.0472844,-1.1172379,-1.161548
