,error,delta_kp,delta_ki,delta_kd,algorithm_idx,episode_idx
90,0.0651,0.0,0.0,0.0,0,0
91,-0.3099,0.0,0.0,0.0,0,0
92,0.1985,0.0,0.0,0.0,0,0
93,0.1872,0.0,0.0,0.0,0,0
94,0.2236,0.0,0.0,0.0,0,0
95,-0.0102,0.0,0.0,0.0,0,0
96,-0.0344,0.0,0.0,0.0,0,0
97,0.1931,0.0,0.0,0.0,0,0
98,-0.1433,0.0,0.0,0.0,0,0
99,-0.2089,0.0,0.0,0.0,0,0
100,-0.2864,0.0,0.0,0.0,0,0
101,-0.3611,0.0,0.0,0.0,0,0
102,0.1445,0.0,0.0,0.0,0,0
103,0.2657,0.0,0.0,0.0,0,0
104,0.2248,0.0,0.0,0.0,0,0
105,0.1584,0.0,0.0,0.0,0,0
106,-0.119,0.0,0.0,0.0,0,0
107,0.1111,0.0,0.0,0.0,0,0
108,-0.1882,0.0,0.0,0.0,0,0
109,-0.1511,0.0,0.0,0.0,0,0
110,-0.2293,0.0,0.0,0.0,0,0
111,0.009,0.0,0.0,0.0,0,0
112,0.2461,0.0,0.0,0.0,0,0
113,0.1278,0.0,0.0,0.0,0,0
114,-0.1175,0.0,0.0,0.0,0,0
115,-0.1201,0.0,0.0,0.0,0,0
116,-0.1077,0.0,0.0,0.0,0,0
117,0.1821,0.0,0.0,0.0,0,0
118,0.0939,0.0,0.0,0.0,0,0
119,0.1155,0.0,0.0,0.0,0,0
120,0.1646,0.0,0.0,0.0,0,0
121,-0.0619,0.0,0.0,0.0,0,0
122,-0.1962,0.0,0.0,0.0,0,0
123,-0.0705,0.0,0.0,0.0,0,0
124,-0.0391,0.0,0.0,0.0,0,0
125,0.0466,0.0,0.0,0.0,0,0
126,-0.2373,0.0,0.0,0.0,0,0
127,0.1106,0.0,0.0,0.0,0,0
128,0.2902,0.0,0.0,0.0,0,0
129,0.158,0.0,0.0,0.0,0,0
130,0.0074,0.0,0.0,0.0,0,0
131,-0.2446,0.0,0.0,0.0,0,0
132,-0.1383,0.0,0.0,0.0,0,0
133,0.1243,0.0,0.0,0.0,0,0
134,0.1236,0.0,0.0,0.0,0,0
135,-0.1068,0.0,0.0,0.0,0,0
136,0.1621,0.0,0.0,0.0,0,0
137,-0.236,0.0,0.0,0.0,0,0
138,-0.2997,0.0,0.0,0.0,0,0
139,-0.2513,0.0,0.0,0.0,0,0
140,-0.4114,0.0,0.0,0.0,0,0
141,-0.1563,0.0,0.0,0.0,0,0
142,-0.135,0.0,0.0,0.0,0,0
143,0.1133,0.0,0.0,0.0,0,0
144,-0.1706,0.0,0.0,0.0,0,0
145,-0.1602,0.0,0.0,0.0,0,0
146,0.2017,0.0,0.0,0.0,0,0
147,0.0043,0.0,0.0,0.0,0,0
148,-0.2859,0.0,0.0,0.0,0,0
149,0.0782,0.0,0.0,0.0,0,0
150,0.1893,0.0,0.0,0.0,0,0
151,0.1089,0.0,0.0,0.0,0,0
152,-0.1924,0.0,0.0,0.0,0,0
153,-0.2121,0.0,0.0,0.0,0,0
154,-0.214,0.0,0.0,0.0,0,0
155,-0.3708,0.0,0.0,0.0,0,0
156,-0.1001,0.0,0.0,0.0,0,0
157,-0.1244,0.0,0.0,0.0,0,0
158,0.1917,0.0,0.0,0.0,0,0
159,0.0846,0.0,0.0,0.0,0,0
160,0.0817,0.0,0.0,0.0,0,0
161,-0.0343,0.0,0.0,0.0,0,0
162,0.0585,0.0,0.0,0.0,0,0
163,0.0809,0.0,0.0,0.0,0,0
164,-0.0453,0.0,0.0,0.0,0,0
165,0.1031,0.0,0.0,0.0,0,0
166,0.1277,0.0,0.0,0.0,0,0
167,-0.113,0.0,0.0,0.0,0,0
168,-0.0041,0.0,0.0,0.0,0,0
169,-0.3033,0.0,0.0,0.0,0,0
170,0.1072,0.0,0.0,0.0,0,0
171,0.1895,0.0,0.0,0.0,0,0
172,-0.0668,0.0,0.0,0.0,0,0
173,-0.2368,0.0,0.0,0.0,0,0
174,-0.1342,0.0,0.0,0.0,0,0
175,-0.2284,0.0,0.0,0.0,0,0
176,-0.1644,0.0,0.0,0.0,0,0
177,0.173,0.0,0.0,0.0,0,0
178,0.0568,0.0,0.0,0.0,0,0
179,-0.084,0.0,0.0,0.0,0,0
180,0.2053,0.0,0.0,0.0,0,0
181,0.2524,0.0,0.0,0.0,0,0
182,0.1312,0.0,0.0,0.0,0,0
183,0.021,0.0,0.0,0.0,0,0
184,-0.1665,0.0,0.0,0.0,0,0
185,0.1271,0.0,0.0,0.0,0,0
186,0.0152,0.0,0.0,0.0,0,0
187,-0.0372,0.0,0.0,0.0,0,0
188,0.1909,0.0,0.0,0.0,0,0
189,0.1349,0.0,0.0,0.0,0,0
190,0.1457,0.0,0.0,0.0,0,0
191,-0.1337,0.0,0.0,0.0,0,0
192,-0.1235,0.0,0.0,0.0,0,0
193,-0.1172,0.0,0.0,0.0,0,0
194,-0.1709,0.0,0.0,0.0,0,0
195,-0.1081,0.0,0.0,0.0,0,0
196,-0.106,0.0,0.0,0.0,0,0
197,-0.0992,0.0,0.0,0.0,0,0
198,0.1242,0.0,0.0,0.0,0,0
199,0.1752,0.0,0.0,0.0,0,0
200,0.192,0.0,0.0,0.0,0,0
201,0.0947,0.0,0.0,0.0,0,0
202,-0.0814,0.0,0.0,0.0,0,0
203,0.0415,0.0,0.0,0.0,0,0
204,-0.1152,0.0,0.0,0.0,0,0
205,-0.4023,0.0,0.0,0.0,0,0
206,-0.3482,0.0,0.0,0.0,0,0
207,0.298,0.0,0.0,0.0,0,0
208,0.2137,0.0,0.0,0.0,0,0
209,-0.28,0.0,0.0,0.0,0,0
210,-0.2135,0.0,0.0,0.0,0,0
211,0.1496,0.0,0.0,0.0,0,0
212,-0.1917,0.0,0.0,0.0,0,0
213,-0.0047,0.0,0.0,0.0,0,0
214,-0.2666,0.0,0.0,0.0,0,0
215,-0.191,0.0,0.0,0.0,0,0
216,-0.5448,0.0,0.0,0.0,0,0
217,-0.0112,0.0,0.0,0.0,0,0
218,0.1629,0.0,0.0,0.0,0,0
219,0.2549,0.0,0.0,0.0,0,0
220,0.1634,0.0,0.0,0.0,0,0
221,0.256,0.0,0.0,0.0,0,0
222,0.2977,0.0,0.0,0.0,0,0
223,0.2218,0.0,0.0,0.0,0,0
224,-0.2001,0.0,0.0,0.0,0,0
225,-0.1898,0.0,0.0,0.0,0,0
226,-0.1328,0.0,0.0,0.0,0,0
227,0.1222,0.0,0.0,0.0,0,0
228,-0.2024,0.0,0.0,0.0,0,0
229,0.083,0.0,0.0,0.0,0,0
230,-0.0672,0.0,0.0,0.0,0,0
231,-0.2609,0.0,0.0,0.0,0,0
232,0.2361,0.0,0.0,0.0,0,0
233,0.2443,0.0,0.0,0.0,0,0
234,0.1518,0.0,0.0,0.0,0,0
235,0.3427,0.0,0.0,0.0,0,0
236,0.2142,0.0,0.0,0.0,0,0
237,0.2356,0.0,0.0,0.0,0,0
238,-0.1211,0.0,0.0,0.0,0,0
239,-0.1045,0.0,0.0,0.0,0,0
240,0.2328,0.0,0.0,0.0,0,0
241,0.3046,0.0,0.0,0.0,0,0
242,-0.3624,0.0,0.0,0.0,0,0
243,-0.6511,0.0,0.0,0.0,0,0
244,0.3912,0.0,0.0,0.0,0,0
245,-0.1777,0.0,0.0,0.0,0,0
246,0.3039,0.0,0.0,0.0,0,0
247,0.1851,0.0,0.0,0.0,0,0
248,0.2762,0.0,0.0,0.0,0,0
249,-0.1277,0.0,0.0,0.0,0,0
250,0.1884,0.0,0.0,0.0,0,0
251,0.0771,0.0,0.0,0.0,0,0
252,-0.0519,0.0,0.0,0.0,0,0
253,-0.0857,0.0,0.0,0.0,0,0
254,-0.0959,0.0,0.0,0.0,0,0
255,-0.1048,0.0,0.0,0.0,0,0
256,-0.1905,0.0,0.0,0.0,0,0
257,-0.1076,0.0,0.0,0.0,0,0
258,-0.1543,0.0,0.0,0.0,0,0
259,-0.0274,0.0,0.0,0.0,0,0
260,0.1491,0.0,0.0,0.0,0,0
261,0.0231,0.0,0.0,0.0,0,0
262,0.2386,0.0,0.0,0.0,0,0
263,0.2809,0.0,0.0,0.0,0,0
264,-0.12,0.0,0.0,0.0,0,0
265,0.1564,0.0,0.0,0.0,0,0
266,0.194,0.0,0.0,0.0,0,0
267,0.1638,0.0,0.0,0.0,0,0
268,0.0959,0.0,0.0,0.0,0,0
269,-0.1532,0.0,0.0,0.0,0,0
270,-0.0421,0.0,0.0,0.0,0,0
271,-0.2705,0.0,0.0,0.0,0,0
272,-0.1881,0.0,0.0,0.0,0,0
273,-0.156,0.0,0.0,0.0,0,0
274,-0.1712,0.0,0.0,0.0,0,0
275,-0.2202,0.0,0.0,0.0,0,0
276,0.2914,0.0,0.0,0.0,0,0
277,0.1352,0.0,0.0,0.0,0,0
278,0.1897,0.0,0.0,0.0,0,0
279,-0.2293,0.0,0.0,0.0,0,0
280,-0.0792,0.0,0.0,0.0,0,0
281,0.2144,0.0,0.0,0.0,0,0
282,0.1241,0.0,0.0,0.0,0,0
283,-0.1542,0.0,0.0,0.0,0,0
284,-0.1985,0.0,0.0,0.0,0,0
285,-0.1581,0.0,0.0,0.0,0,0
286,-0.0818,0.0,0.0,0.0,0,0
287,-0.1811,0.0,0.0,0.0,0,0
288,-0.0658,0.0,0.0,0.0,0,0
289,0.2693,0.0,0.0,0.0,0,0
290,0.1026,0.0,0.0,0.0,0,0
291,-0.0451,0.0,0.0,0.0,0,0
292,0.2058,0.0,0.0,0.0,0,0
293,0.0613,0.0,0.0,0.0,0,0
294,-0.0371,0.0,0.0,0.0,0,0
295,-0.0234,0.0,0.0,0.0,0,0
296,0.0236,0.0,0.0,0.0,0,0
297,-0.3053,0.0,0.0,0.0,0,0
298,-0.1324,0.0,0.0,0.0,0,0
299,0.0337,0.0,0.0,0.0,0,0
300,0.3069,0.0,0.0,0.0,0,0
301,0.0866,0.0,0.0,0.0,0,0
302,-0.145,0.0,0.0,0.0,0,0
303,-0.1325,0.0,0.0,0.0,0,0
304,-0.1428,0.0,0.0,0.0,0,0
305,0.0972,0.0,0.0,0.0,0,0
306,-0.0617,0.0,0.0,0.0,0,0
307,0.248,0.0,0.0,0.0,0,0
308,-0.0022,0.0,0.0,0.0,0,0
309,0.0019,0.0,0.0,0.0,0,0
310,0.024,0.0,0.0,0.0,0,0
311,-0.0251,0.0,0.0,0.0,0,1
312,-0.1279,0.0,0.0,0.0,0,1
313,-0.1547,0.0,0.0,0.0,0,1
314,0.1175,0.0,0.0,0.0,0,1
315,-0.4184,0.0,0.0,0.0,0,1
316,0.0834,0.0,0.0,0.0,0,1
317,-0.2571,0.0,0.0,0.0,0,1
318,-0.1569,0.0,0.0,0.0,0,1
319,0.1623,0.0,0.0,0.0,0,1
320,-0.0598,0.0,0.0,0.0,0,1
321,-0.2723,0.0,0.0,0.0,0,1
322,-0.2823,0.0,0.0,0.0,0,1
323,-0.268,0.0,0.0,0.0,0,1
324,-0.2058,0.0,0.0,0.0,0,1
325,0.1953,0.0,0.0,0.0,0,1
326,-0.3083,0.0,0.0,0.0,0,1
327,-0.1209,0.0,0.0,0.0,0,1
328,0.2608,0.0,0.0,0.0,0,1
329,-0.1116,0.0,0.0,0.0,0,1
330,0.2574,0.0,0.0,0.0,0,1
331,0.0778,0.0,0.0,0.0,0,1
332,0.384,0.0,0.0,0.0,0,1
333,0.2963,0.0,0.0,0.0,0,1
334,0.1258,0.0,0.0,0.0,0,1
335,0.0034,0.0,0.0,0.0,0,1
336,0.072,0.0,0.0,0.0,0,1
337,-0.4045,0.0,0.0,0.0,0,1
338,-0.1124,0.0,0.0,0.0,0,1
339,-0.1125,0.0,0.0,0.0,0,1
340,0.3546,0.0,0.0,0.0,0,1
341,-0.1571,0.0,0.0,0.0,0,1
342,-0.1489,0.0,0.0,0.0,0,1
343,0.1118,0.0,0.0,0.0,0,1
344,0.2598,0.0,0.0,0.0,0,1
345,-0.2799,0.0,0.0,0.0,0,1
346,0.1845,0.0,0.0,0.0,0,1
347,-0.1209,0.0,0.0,0.0,0,1
348,0.1156,0.0,0.0,0.0,0,1
349,-0.0995,0.0,0.0,0.0,0,1
350,-0.082,0.0,0.0,0.0,0,1
351,-0.0604,0.0,0.0,0.0,0,1
352,0.1961,0.0,0.0,0.0,0,1
353,0.0815,0.0,0.0,0.0,0,1
354,-0.0786,0.0,0.0,0.0,0,1
355,-0.0503,0.0,0.0,0.0,0,1
356,0.066,0.0,0.0,0.0,0,1
357,0.2958,0.0,0.0,0.0,0,1
358,0.1068,0.0,0.0,0.0,0,1
359,0.1051,0.0,0.0,0.0,0,1
360,-0.1728,0.0,0.0,0.0,0,1
361,0.1101,0.0,0.0,0.0,0,1
362,0.2414,0.0,0.0,0.0,0,1
363,-0.1671,0.0,0.0,0.0,0,1
364,-0.1855,0.0,0.0,0.0,0,1
365,0.0673,0.0,0.0,0.0,0,1
366,0.052,0.0,0.0,0.0,0,1
367,0.1271,0.0,0.0,0.0,0,1
368,-0.1364,0.0,0.0,0.0,0,1
369,-0.1174,0.0,0.0,0.0,0,1
370,0.1268,0.0,0.0,0.0,0,1
371,0.1353,0.0,0.0,0.0,0,1
372,0.1001,0.0,0.0,0.0,0,1
373,-0.202,0.0,0.0,0.0,0,1
374,-0.0063,0.0,0.0,0.0,0,1
375,0.4231,0.0,0.0,0.0,0,1
376,0.2246,0.0,0.0,0.0,0,1
377,0.0088,0.0,0.0,0.0,0,1
378,0.2689,0.0,0.0,0.0,0,1
379,0.2981,0.0,0.0,0.0,0,1
380,0.444,0.0,0.0,0.0,0,1
381,0.0471,0.0,0.0,0.0,0,1
382,0.1061,0.0,0.0,0.0,0,1
383,0.0716,0.0,0.0,0.0,0,1
384,0.1175,0.0,0.0,0.0,0,1
385,-0.1086,0.0,0.0,0.0,0,1
386,0.1761,0.0,0.0,0.0,0,1
387,-0.1499,0.0,0.0,0.0,0,1
388,0.1982,0.0,0.0,0.0,0,1
389,-0.0489,0.0,0.0,0.0,0,1
390,0.0166,0.0,0.0,0.0,0,1
391,0.4552,0.0,0.0,0.0,0,1
392,-0.1314,0.0,0.0,0.0,0,1
393,0.1136,0.0,0.0,0.0,0,1
394,0.3,0.0,0.0,0.0,0,1
395,0.0557,0.0,0.0,0.0,0,1
396,0.0635,0.0,0.0,0.0,0,1
397,-0.2214,0.0,0.0,0.0,0,1
398,0.2311,0.0,0.0,0.0,0,1
399,0.129,0.0,0.0,0.0,0,1
400,0.1209,0.0,0.0,0.0,0,1
401,0.1383,0.0,0.0,0.0,0,1
402,0.1977,0.0,0.0,0.0,0,1
403,-0.2814,0.0,0.0,0.0,0,1
404,0.3178,0.0,0.0,0.0,0,1
405,0.2388,0.0,0.0,0.0,0,1
406,0.3777,0.0,0.0,0.0,0,1
407,-0.3347,0.0,0.0,0.0,0,1
408,-0.2308,0.0,0.0,0.0,0,1
409,0.1125,0.0,0.0,0.0,0,1
410,0.1141,0.0,0.0,0.0,0,1
411,0.2908,0.0,0.0,0.0,0,1
412,0.0442,0.0,0.0,0.0,0,1
413,-0.2456,0.0,0.0,0.0,0,1
414,-0.1836,0.0,0.0,0.0,0,1
415,0.1317,0.0,0.0,0.0,0,1
416,0.0274,0.0,0.0,0.0,0,1
417,-0.1106,0.0,0.0,0.0,0,1
418,0.1257,0.0,0.0,0.0,0,1
419,0.0999,0.0,0.0,0.0,0,1
420,-0.1673,0.0,0.0,0.0,0,1
421,-0.086,0.0,0.0,0.0,0,1
422,-0.0768,0.0,0.0,0.0,0,1
423,0.0649,0.0,0.0,0.0,0,1
424,-0.0331,0.0,0.0,0.0,0,1
425,-0.0773,0.0,0.0,0.0,0,1
426,0.0944,0.0,0.0,0.0,0,1
427,0.0927,0.0,0.0,0.0,0,1
428,-0.1757,0.0,0.0,0.0,0,1
429,0.0733,0.0,0.0,0.0,0,1
430,0.0644,0.0,0.0,0.0,0,1
431,-0.0435,0.0,0.0,0.0,0,1
432,-0.3124,0.0,0.0,0.0,0,1
433,0.3698,0.0,0.0,0.0,0,1
434,0.6882,0.0,0.0,0.0,0,1
435,-0.0278,0.0,0.0,0.0,0,1
436,0.2675,0.0,0.0,0.0,0,1
437,-0.1133,0.0,0.0,0.0,0,1
438,-0.1064,0.0,0.0,0.0,0,1
439,-0.1107,0.0,0.0,0.0,0,1
440,0.1017,0.0,0.0,0.0,0,1
441,-0.0921,0.0,0.0,0.0,0,1
442,0.0656,0.0,0.0,0.0,0,1
443,0.2229,0.0,0.0,0.0,0,1
444,-0.224,0.0,0.0,0.0,0,1
445,-0.0446,0.0,0.0,0.0,0,1
446,0.0763,0.0,0.0,0.0,0,1
447,-0.1519,0.0,0.0,0.0,0,1
448,-0.1387,0.0,0.0,0.0,0,1
449,0.1828,0.0,0.0,0.0,0,1
450,-0.1511,0.0,0.0,0.0,0,1
451,0.0744,0.0,0.0,0.0,0,1
452,0.0235,0.0,0.0,0.0,0,1
453,0.3216,0.0,0.0,0.0,0,1
454,-0.1482,0.0,0.0,0.0,0,1
455,0.0875,0.0,0.0,0.0,0,1
456,-0.0157,0.0,0.0,0.0,0,1
457,0.2608,0.0,0.0,0.0,0,1
458,-0.2226,0.0,0.0,0.0,0,1
459,-0.1423,0.0,0.0,0.0,0,1
460,0.1565,0.0,0.0,0.0,0,1
461,-0.0558,0.0,0.0,0.0,0,1
462,-0.0406,0.0,0.0,0.0,0,1
463,-0.3231,0.0,0.0,0.0,0,1
464,-0.1665,0.0,0.0,0.0,0,1
465,-0.0847,0.0,0.0,0.0,0,1
466,-0.0388,0.0,0.0,0.0,0,1
467,-0.2598,0.0,0.0,0.0,0,1
468,-0.0586,0.0,0.0,0.0,0,1
469,0.1107,0.0,0.0,0.0,0,1
470,0.5404,0.0,0.0,0.0,0,1
471,0.0791,0.0,0.0,0.0,0,1
472,-0.1301,0.0,0.0,0.0,0,1
473,0.1365,0.0,0.0,0.0,0,1
474,-0.1927,0.0,0.0,0.0,0,1
475,-0.3064,0.0,0.0,0.0,0,1
476,0.1311,0.0,0.0,0.0,0,1
477,0.0898,0.0,0.0,0.0,0,1
478,-0.1041,0.0,0.0,0.0,0,1
479,-0.1024,0.0,0.0,0.0,0,1
480,0.1826,0.0,0.0,0.0,0,1
481,-0.1982,0.0,0.0,0.0,0,1
482,0.075,0.0,0.0,0.0,0,1
483,-0.1985,0.0,0.0,0.0,0,1
484,0.1923,0.0,0.0,0.0,0,1
485,-0.0801,0.0,0.0,0.0,0,1
486,-0.2097,0.0,0.0,0.0,0,1
487,-0.0769,0.0,0.0,0.0,0,1
488,0.0655,0.0,0.0,0.0,0,1
489,0.0824,0.0,0.0,0.0,0,1
490,-0.1977,0.0,0.0,0.0,0,1
491,0.0421,0.0,0.0,0.0,0,1
492,0.1904,0.0,0.0,0.0,0,1
493,0.1104,0.0,0.0,0.0,0,1
494,0.2894,0.0,0.0,0.0,0,1
495,0.3871,0.0,0.0,0.0,0,1
496,-0.1306,0.0,0.0,0.0,0,1
497,-0.1631,0.0,0.0,0.0,0,1
498,-0.181,0.0,0.0,0.0,0,1
499,-0.1122,0.0,0.0,0.0,0,1
500,-0.3715,0.0,0.0,0.0,0,1
501,0.0233,0.0,0.0,0.0,0,1
502,-0.2366,0.0,0.0,0.0,0,1
503,0.2415,0.0,0.0,0.0,0,1
504,0.3192,0.0,0.0,0.0,0,1
505,-0.3762,0.0,0.0,0.0,0,1
506,-0.2072,0.0,0.0,0.0,0,1
507,-0.1295,0.0,0.0,0.0,0,1
508,0.0433,0.0,0.0,0.0,0,1
509,-0.1273,0.0,0.0,0.0,0,1
510,-0.1482,0.0,0.0,0.0,0,1
511,0.1372,0.0,0.0,0.0,0,1
512,-0.1458,0.0,0.0,0.0,0,1
513,0.067,0.0,0.0,0.0,0,1
514,0.3935,0.0,0.0,0.0,0,1
515,-0.2268,0.0,0.0,0.0,0,1
516,0.1267,0.0,0.0,0.0,0,1
517,-0.1877,0.0,0.0,0.0,0,1
518,0.1442,0.0,0.0,0.0,0,1
519,0.2172,0.0,0.0,0.0,0,1
520,-0.0383,0.0,0.0,0.0,0,1
521,-0.1183,0.0,0.0,0.0,0,1
522,-0.0856,0.0,0.0,0.0,0,1
523,0.079,0.0,0.0,0.0,0,1
524,-0.1336,0.0,0.0,0.0,0,1
525,0.2542,0.0,0.0,0.0,0,1
526,0.2746,0.0,0.0,0.0,0,1
527,0.1672,0.0,0.0,0.0,0,1
528,0.1346,0.0,0.0,0.0,0,1
529,0.1344,0.0,0.0,0.0,0,1
530,-0.1401,0.0,0.0,0.0,0,1
531,0.2021,0.0,0.0,0.0,0,1
532,-0.1563,0.0,0.0,0.0,0,1
533,0.1635,0.0,0.0,0.0,0,1
534,-0.1697,0.0,0.0,0.0,0,1
535,-0.0898,0.0,0.0,0.0,0,1
536,-0.0804,0.0,0.0,0.0,0,1
537,0.0838,0.0,0.0,0.0,0,1
538,0.1912,0.0,0.0,0.0,0,1
539,-0.0597,0.0,0.0,0.0,0,1
540,-0.236,0.0,0.0,0.0,0,1
541,-0.0676,0.0,0.0,0.0,0,1
542,0.2744,0.0,0.0,0.0,0,1
543,-0.0182,0.0,0.0,0.0,0,1
544,0.4286,0.0,0.0,0.0,0,1
545,-0.1989,0.0,0.0,0.0,0,1
546,-0.2376,0.0,0.0,0.0,0,1
547,-0.0346,0.0,0.0,0.0,0,1
548,-0.2854,0.0,0.0,0.0,0,1
549,-0.4793,0.0,0.0,0.0,0,1
550,-0.5096,0.0,0.0,0.0,0,1
551,0.2115,0.0,0.0,0.0,0,1
552,-0.234,0.0,0.0,0.0,0,1
553,-0.3111,0.0,0.0,0.0,0,1
554,-0.1636,0.0,0.0,0.0,0,1
555,0.1444,0.0,0.0,0.0,0,1
556,-0.1161,0.0,0.0,0.0,0,1
557,-0.0719,0.0,0.0,0.0,0,1
558,-0.003,0.0,0.0,0.0,0,1
559,-0.1092,0.0,0.0,0.0,0,1
560,0.1238,0.0,0.0,0.0,0,1
561,0.1582,0.0,0.0,0.0,0,1
562,0.3403,0.0,0.0,0.0,0,1
563,-0.1944,0.0,0.0,0.0,0,1
564,0.1536,0.0,0.0,0.0,0,1
565,-0.1494,0.0,0.0,0.0,0,1
566,-0.2086,0.0,0.0,0.0,0,1
567,-0.0082,0.0,0.0,0.0,0,1
568,0.4726,0.0,0.0,0.0,0,1
569,-0.2749,0.0,0.0,0.0,0,1
570,0.1961,0.0,0.0,0.0,0,1
571,0.2534,0.0,0.0,0.0,0,1
572,0.2651,0.0,0.0,0.0,0,1
573,0.3651,0.0,0.0,0.0,0,1
574,-0.1644,0.0,0.0,0.0,0,1
575,-0.2351,0.0,0.0,0.0,0,1
576,-0.0292,0.0,0.0,0.0,0,1
577,0.2446,0.0,0.0,0.0,0,1
578,-0.1032,0.0,0.0,0.0,0,1
579,-0.2042,0.0,0.0,0.0,0,1
580,-0.004,0.0,0.0,0.0,0,1
581,0.2518,0.0,0.0,0.0,0,1
582,0.3276,0.0,0.0,0.0,0,1
583,0.3125,0.0,0.0,0.0,0,1
584,-0.0835,0.0,0.0,0.0,0,1
585,0.1328,0.0,0.0,0.0,0,1
586,-0.0193,0.0,0.0,0.0,0,1
587,0.1582,0.0,0.0,0.0,0,1
588,-0.2665,0.0,0.0,0.0,0,1
589,0.0455,0.0,0.0,0.0,0,1
590,0.2196,0.0,0.0,0.0,0,1
591,0.3302,0.0,0.0,0.0,0,1
592,0.4482,0.0,0.0,0.0,0,1
593,0.4509,0.0,0.0,0.0,0,1
594,0.3769,0.0,0.0,0.0,0,1
