,episode_tr_PID,episode_ts_PID,episode_sigma_PID,episode_tr_RL,episode_ts_RL,episode_sigma_RL
0,0.0006450959999710904,31.288521724999555,1.0,0.0016718829992896644,2.3300960150008905,1.627331711273317
1,0.30194661200039263,50.21676150300027,1.1598841219478548,0.609820325000328,17.724058212001182,41.889352818371606
2,0.10128125499977614,50.215984729999946,2.184463497012211,0.1024861450005119,0.3049312830007693,9.641999038923593
3,0.0007041570006549591,50.21560326100007,1.4446735395189003,0.10284248700008902,17.733539561000725,7.676254935138183
4,0.0006685689995720168,50.21795254199969,4.139832594780896,0.001537455000288901,7.496078960999512,3.3986764889499317
5,0.201801398000498,50.21926055400036,3.059679767103348,0.0,0.3050550320003822,7.80613708058503
6,0.0008191369997803122,50.21443718899991,3.3605115907274183,0.0020111270005145343,20.263487848000295,4.471825201248563
7,0.2018627560000823,50.23771226200006,9.002141327623127,0.10268440800064127,0.3050899040008517,4.251796313651984
8,0.001472096000725287,50.26396431300054,227.24324324324323,0.002018246999796247,14.276584342000206,10.861931364724661
9,0.0008949470002335147,50.236330411999916,3.478811881188119,0.0013869309987057932,0.3060255729997152,1.6863886995849078
10,0.10133845700056554,3.51965492599993,0.5826479172194216,0.3048249310013489,11.23926358800054,2.2144484217377154
11,0.0004932000001645065,50.2582629919998,0.9995018679950187,0.10275316700062831,2.940984709000986,1.2298933670703054
12,0.0009947930002454086,50.24517011400076,2.200109649122807,0.0015329080015362706,3.749325945000237,3.08511844043976
13,0.001071769000191125,30.868146793999585,2.488527843234528,0.20402851499966346,0.30511693699918396,21.741214057507985
14,0.2017495729996881,50.26412374699976,3.837253777012813,0.5075668139998015,7.288900308998564,2.6102800153433066
15,0.10146424900085549,50.2766098230004,5.009987515605493,0.0014031280006747693,5.378760112000236,2.0548048614780705
16,0.10151327399944421,50.279022446000454,5.028822055137844,0.0012160619990027044,0.3059750569991593,12.028281042863455
17,0.0008971999995992519,50.30139160699946,1180.2941176470588,0.10279391999938525,4.667052507000335,22.058346839546193
18,0.0011482720001367852,50.283214711000255,1.4358809217117503,0.0015468359997612424,10.63713020599971,4.445533235342153
19,0.10142015900055412,50.26258762500038,3.1884633720006357,0.10268890699990152,0.30524033899928327,1.7722507975779673
