Wall time,Step,Value
1685945738.576395,640,-25.031227111816406
1685945748.5577836,960,-25.031227111816406
1685945749.402763,992,-14.10474967956543
1685945752.3913808,1088,-14.10474967956543
1685945753.8049245,1120,-14.10474967956543
1685945756.8113668,1216,-14.10474967956543
1685945760.0274282,1344,-14.10474967956543
1685945761.044009,1376,-14.10474967956543
1685945773.7135627,1792,-10.858154296875
1685945779.330286,2016,-9.138031005859375
1685945780.1366758,2048,-9.138031005859375
1685945780.9679856,2080,-9.138031005859375
1685945786.5422935,2240,-7.427921772003174
1685945794.768244,2496,-6.3706769943237305
1685945795.5690446,2528,-6.3706769943237305
1685945797.8006868,2624,-6.3706769943237305
1685945798.8294656,2656,-6.3706769943237305
1685945801.71669,2752,-6.3706769943237305
1685945803.0767012,2784,-6.3706769943237305
1685945808.9732223,2976,-5.948319435119629
1685945813.7844412,3136,-5.948319435119629
1685945820.2198932,3360,-5.611267566680908
1685945830.075,3680,-5.152703762054443
1685945833.5070024,3808,-5.152703762054443
1685945836.8726048,3936,-5.152703762054443
1685945850.7830656,4384,-5.082487106323242
1685945854.783203,4512,-5.082487106323242
1685945855.8346875,4544,-4.948850154876709
1685945857.5415123,4608,-4.948850154876709
1685945859.4964747,4672,-4.948850154876709
1685945865.336041,4864,-4.948850154876709
1685945874.0643644,5120,-4.818935871124268
1685945875.8451407,5184,-4.818935871124268
1685945876.827592,5216,-4.818935871124268
1685945879.7200358,5312,-4.818935871124268
1685945886.3752284,5536,-4.68533182144165
1685945889.3645933,5632,-4.68533182144165
1685945891.1108382,5696,-4.68533182144165
1685945893.216778,5760,-4.68533182144165
1685945900.3056989,5984,-4.50581693649292
1685945901.270148,6016,-4.50581693649292
1685945906.2739935,6176,-4.50581693649292
1685945913.2903075,6400,-4.50581693649292
1685945914.2939026,6432,-4.442279815673828
1685945915.2554662,6464,-4.442279815673828
1685945919.9159229,6624,-4.225839138031006
1685945921.106359,6656,-4.225839138031006
1685945932.724433,7008,-4.025823593139648
1685945934.64703,7072,-4.025823593139648
1685945940.8490593,7264,-4.025823593139648
1685945942.7092435,7328,-3.9827218055725098
1685945944.440104,7392,-3.9827218055725098
1685945952.874249,7680,-3.9827218055725098
1685945957.9092646,7840,-3.9384758472442627
1685945971.4316542,8320,-3.7433154582977295
1685945972.3641675,8352,-3.7433154582977295
1685945986.2216253,8768,-3.7151036262512207
1685945987.1783144,8800,-3.7151036262512207
1685945988.0791407,8832,-3.7151036262512207
1685945999.1317763,9184,-3.699462652206421
1685946002.0499027,9280,-3.699462652206421
1685946005.8844023,9408,-3.6775424480438232
1685946010.4671488,9536,-3.6775424480438232
1685946013.4094763,9632,-3.6775424480438232
1685946016.2102854,9728,-3.6775424480438232
1685946017.8889158,9792,-3.6775424480438232
1685946022.8772402,9952,-3.667726993560791
1685946024.846134,10016,-3.667726993560791
1685946026.0202227,10048,-3.667726993560791
1685946037.0798857,10368,-3.548663854598999
1685946041.6778655,10496,-3.548663854598999
1685946045.1478431,10624,-3.5378565788269043
1685946047.3410075,10688,-3.415168285369873
1685946048.5859702,10720,-3.415168285369873
1685946051.5479498,10816,-3.3118269443511963
1685946064.8546982,11296,-3.326983690261841
1685946073.3818903,11552,-3.1277201175689697
1685946074.310574,11584,-3.1277201175689697
1685946085.9692426,11968,-3.0661659240722656
1685946092.049211,12160,-3.0756733417510986
1685946093.1487892,12192,-3.0756733417510986
1685946094.0611393,12224,-3.0756733417510986
1685946106.8488925,12608,-3.0756733417510986
1685946115.1364932,12864,-3.0799012184143066
1685946118.6227546,12992,-3.0799012184143066
1685946120.4505122,13056,-3.0799012184143066
1685946126.2150178,13216,-3.0847318172454834
1685946131.2370946,13376,-3.013119697570801
1685946132.91506,13440,-3.013119697570801
1685946143.353642,13792,-3.017944097518921
1685946148.7243567,13984,-3.017944097518921
1685946149.6023695,14016,-3.017944097518921
1685946163.7018023,14464,-3.0302515029907227
1685946164.7116265,14496,-3.0302515029907227
1685946166.3416162,14560,-3.0302515029907227
1685946170.5271597,14688,-3.0302515029907227
1685946171.3035598,14720,-3.0302515029907227
1685946173.1797266,14784,-3.034804105758667
1685946178.4835956,14976,-3.034804105758667
1685946182.039428,15104,-3.034804105758667
1685946187.0048432,15264,-3.0623867511749268
1685946190.805892,15392,-3.0623867511749268
1685946194.3020208,15488,-3.0623867511749268
1685946196.2510026,15552,-3.0623867511749268
1685946200.0235658,15680,-3.0623867511749268
1685946200.948883,15712,-3.0623867511749268
1685946205.7456105,15872,-3.0727312564849854
1685946206.963134,15904,-3.0727312564849854
1685946213.0418634,16096,-2.9538111686706543
1685946214.9075322,16160,-2.9538111686706543
1685946219.777295,16320,-2.9538111686706543
1685946235.4223182,16832,-2.9600563049316406
1685946236.4904418,16864,-2.9600563049316406
1685946237.4686038,16896,-2.9600563049316406
1685946238.5935345,16928,-2.9600563049316406
1685946239.4490016,16960,-2.9600563049316406
1685946242.4394732,17056,-2.96600079536438
1685946243.1475909,17088,-2.96600079536438
