Wall time,Step,Value
1686659883.633231,512,-25.742095947265625
1686659891.3061168,576,-12.910240173339844
1686659894.6814141,608,-12.910240173339844
1686659898.0579393,640,-12.910240173339844
1686659914.9381921,800,-12.910240173339844
1686659918.3142278,832,-12.910240173339844
1686659921.694928,864,-12.910240173339844
1686659931.8227508,960,-12.910240173339844
1686659935.2015758,992,-12.910240173339844
1686659938.5997105,1024,-12.910240173339844
1686659946.4896605,1088,-9.824886322021484
1686659949.9169598,1120,-9.824886322021484
1686659953.3307073,1152,-9.824886322021484
1686659960.1060421,1216,-9.824886322021484
1686659963.4996674,1248,-9.824886322021484
1686659973.7303796,1344,-9.824886322021484
1686659977.1250107,1376,-9.824886322021484
1686659980.5142794,1408,-9.824886322021484
1686659983.9043832,1440,-9.824886322021484
1686659987.2910252,1472,-9.824886322021484
1686659998.4327059,1568,-8.238752365112305
1686660001.7783897,1600,-8.238752365112305
1686660008.5541031,1664,-8.238752365112305
1686660011.9428067,1696,-8.238752365112305
1686660015.3300214,1728,-8.238752365112305
1686660018.7133226,1760,-8.238752365112305
1686660022.0997925,1792,-8.238752365112305
1686660045.7970805,2016,-8.238752365112305
1686660049.1962223,2048,-8.238752365112305
1686660053.5339751,2080,-7.29502534866333
1686660056.9173412,2112,-7.29502534866333
1686660060.3037336,2144,-7.29502534866333
1686660063.6862743,2176,-7.29502534866333
1686660067.0739527,2208,-7.29502534866333
1686660070.4605136,2240,-7.29502534866333
1686660073.8480062,2272,-7.29502534866333
1686660081.5904934,2336,-6.211962699890137
1686660091.7594335,2432,-6.211962699890137
1686660095.1453133,2464,-6.211962699890137
1686660098.557808,2496,-6.211962699890137
1686660101.936987,2528,-6.211962699890137
1686660108.7470443,2592,-6.211962699890137
1686660112.133261,2624,-6.211962699890137
1686660115.529123,2656,-6.211962699890137
1686660118.924196,2688,-6.211962699890137
1686660125.7294755,2752,-6.211962699890137
1686660130.1422555,2784,-5.82451868057251
1686660136.9349089,2848,-5.82451868057251
