Wall time,Step,Value
1686645828.4173205,64,0.0031809434294700623
1686645835.1841712,128,0.004741620272397995
1686645838.5546086,160,0.007686374709010124
1686645841.9265842,192,0.008569568395614624
1686645852.0642161,288,0.006734516471624374
1686645858.8452625,352,0.004418566823005676
1686645862.230985,384,0.013472011312842369
1686645865.611901,416,0.008797895163297653
1686645876.7320316,512,0.012935677543282509
1686645880.0783918,544,0.003038959577679634
1686645883.4573271,576,0.03461214900016785
1686645886.83186,608,0.005893044173717499
1686645890.2159379,640,0.011864917352795601
1686645893.596007,672,0.009635541588068008
1686645896.965736,704,0.022134484723210335
1686645903.7108405,768,0.018757810816168785
1686645907.083625,800,0.018956679850816727
1686645913.8254294,864,0.015711592510342598
1686645917.1963897,896,0.016512883827090263
1686645920.5653508,928,0.011494828388094902
1686645923.9364593,960,0.021120749413967133
1686645927.3079844,992,0.012996504083275795
1686645931.6254654,1024,0.021548282355070114
1686645935.002744,1056,0.003279140219092369
1686645939.3164437,1088,0.007294751703739166
1686645942.6871457,1120,0.004346773028373718
1686645946.0597606,1152,0.02028731070458889
1686645952.8223057,1216,0.0065004825592041016
1686645956.1954522,1248,0.008052993565797806
1686645959.567221,1280,0.009896017611026764
1686645962.941512,1312,0.010500302538275719
1686645966.3125658,1344,0.007229968905448914
1686645973.061074,1408,0.01014692522585392
1686645976.433943,1440,0.015977347269654274
1686645986.5611012,1536,0.0139930360019207
1686645990.9500937,1568,0.005940742790699005
1686645997.3020775,1600,0.009116234257817268
1686646001.6154265,1632,0.0036990419030189514
1686646004.9860184,1664,0.013366615399718285
1686646008.3590798,1696,0.026057427749037743
1686646011.7271473,1728,0.008892763406038284
1686646015.0988019,1760,0.009370498359203339
1686646018.4680722,1792,0.001960625872015953
1686646021.8383956,1824,0.019725926220417023
1686646028.5788214,1888,0.004040081053972244
1686646031.9506783,1920,0.005066072568297386
1686646038.696821,1984,0.010195674374699593
1686646042.075065,2016,0.014416420832276344
1686646045.4480448,2048,0.023218542337417603
1686646048.821682,2080,0.025761598721146584
1686646057.5802343,2144,0.026851583272218704
1686646060.9395144,2176,0.009788213297724724
1686646064.314803,2208,0.007127627730369568
1686646067.6864145,2240,0.02539564110338688
1686646074.4290414,2304,0.011781852692365646
1686646077.8028727,2336,0.003966514021158218
1686646081.175519,2368,0.009649975225329399
1686646084.5468056,2400,0.0037550944834947586
1686646091.2945106,2464,0.007733874022960663
1686646098.0426579,2528,0.018995167687535286
1686646101.41476,2560,0.006725942716002464
1686646104.7845888,2592,0.007401023060083389
1686646108.1589313,2624,0.01912621781229973
1686646112.4794211,2656,0.01964571140706539
1686646115.8475964,2688,0.016612380743026733
1686646120.174605,2720,0.004854956641793251
1686646123.5377548,2752,0.01526629738509655
1686646126.9111974,2784,0.008224520832300186
1686646130.2879362,2816,0.013819072395563126
1686646133.6596167,2848,0.021279210224747658
1686646137.0318897,2880,0.008323946967720985
1686646140.4039996,2912,0.003088276833295822
1686646143.7761543,2944,0.011545831337571144
1686646150.5266776,3008,0.007424600422382355
1686646157.2713954,3072,0.011583032086491585
1686646160.642454,3104,0.006774222478270531
1686646164.0162616,3136,0.014119915664196014
1686646176.137505,3232,0.011503227055072784
1686646179.5091002,3264,0.004491163417696953
1686646182.8842955,3296,0.006071222946047783
1686646189.6334608,3360,0.014859635382890701
1686646193.0068364,3392,0.00824807584285736
1686646199.7527857,3456,0.004540629684925079
1686646203.128938,3488,0.01827440783381462
1686646206.5043802,3520,0.010357046499848366
1686646209.8790045,3552,0.02283482253551483
1686646213.2507396,3584,0.006451388821005821
1686646216.624335,3616,0.014008542522788048
1686646219.9986153,3648,0.023142559453845024
1686646226.745169,3712,0.02127729170024395
1686646232.116169,3744,0.045432135462760925
1686646235.495237,3776,0.008066661655902863
1686646238.8668802,3808,0.02759569324553013
1686646242.240723,3840,0.04859640449285507
1686646245.6121492,3872,0.005009543150663376
1686646248.9831538,3904,0.005992397665977478
1686646252.3549538,3936,0.010156504809856415
1686646255.7281897,3968,0.011053554713726044
1686646259.1009746,4000,0.010924877598881721
1686646265.8445637,4064,0.014450985938310623
1686646269.215702,4096,0.006283055990934372
1686646272.591489,4128,0.01443331129848957
1686646275.9656744,4160,0.013673461973667145
1686646279.339065,4192,0.028920328244566917
1686646283.7151875,4224,0.0038398802280426025
1686646287.1468022,4256,0.008544495329260826
1686646290.5246725,4288,0.012823682278394699
1686646297.2707927,4352,0.02251306362450123
1686646304.01683,4416,0.015467535704374313
1686646307.3934352,4448,0.01272227056324482
1686646310.7682028,4480,0.02260207012295723
1686646314.1433198,4512,0.017353709787130356
1686646317.518303,4544,0.010122736915946007
1686646320.8902185,4576,0.017925461754202843
1686646327.6372278,4640,0.012294050306081772
1686646331.0093925,4672,0.0132612194865942
1686646334.3882387,4704,0.024029189720749855
1686646338.7176926,4736,0.0187398511916399
1686646342.0775967,4768,0.007720585912466049
1686646345.4529781,4800,0.0191987045109272
1686646352.1946025,4864,0.012411141768097878
1686646358.9429312,4928,0.010222002863883972
1686646362.3158689,4960,0.011239392682909966
1686646365.687403,4992,0.03203102946281433
1686646372.438168,5056,0.008198967203497887
1686646375.81243,5088,0.016841264441609383
1686646379.187859,5120,0.011363022029399872
1686646382.5602982,5152,0.04799676686525345
1686646385.9329004,5184,0.013056386262178421
1686646389.3053188,5216,0.022739138454198837
1686646393.7379034,5248,0.035929083824157715
1686646397.1094773,5280,0.01292630098760128
1686646400.4841704,5312,0.021076135337352753
1686646403.8563662,5344,0.016783621162176132
1686646408.2388833,5376,0.026647012680768967
1686646415.0367904,5440,0.014198482036590576
1686646418.408419,5472,0.017851000651717186
1686646421.7814488,5504,0.025791378691792488
1686646425.155857,5536,0.03924797475337982
1686646428.528317,5568,0.007937440648674965
1686646435.2697,5632,0.024981388822197914
1686646438.643732,5664,0.0046755969524383545
1686646442.0181847,5696,0.015417022630572319
1686646446.4574108,5728,0.01865958794951439
1686646449.8303962,5760,0.017267627641558647
1686646456.5744164,5824,0.011898418888449669
1686646459.948252,5856,0.02463887445628643
1686646463.3224678,5888,0.0034994762390851974
1686646466.6977592,5920,0.03390966355800629
1686646470.0629146,5952,0.013471558690071106
1686646476.4025888,5984,0.0082605741918087
1686646479.7450466,6016,0.010141409933567047
1686646489.8604467,6112,0.011679258197546005
1686646493.2329648,6144,0.013948965817689896
1686646496.6051028,6176,0.009313002228736877
1686646499.9787228,6208,0.02067665196955204
1686646503.3495977,6240,0.007204093039035797
1686646510.1017451,6304,0.018213991075754166
1686646516.847954,6368,0.006492171436548233
1686646520.2223413,6400,0.016521301120519638
1686646523.5933318,6432,0.031501367688179016
1686646526.9642687,6464,0.00943443737924099
1686646535.710791,6528,0.026200605556368828
1686646539.0821235,6560,0.01809503138065338
1686646542.4553013,6592,0.02267293445765972
1686646545.8278706,6624,0.041348494589328766
1686646549.2030454,6656,0.0075907278805971146
1686646552.5756004,6688,0.014118438586592674
1686646555.9463687,6720,0.02668115496635437
1686646559.3169653,6752,0.02381562814116478
1686646562.6929815,6784,0.030512433499097824
1686646566.0727303,6816,0.032557275146245956
1686646572.8148565,6880,0.023523038253188133
1686646576.1884124,6912,0.00874042883515358
1686646579.5599992,6944,0.013138355687260628
1686646582.929478,6976,0.03255065530538559
1686646590.6212053,7040,0.011912185698747635
1686646593.9920018,7072,0.010736653581261635
1686646597.3622944,7104,0.01426083967089653
1686646600.7351673,7136,0.017618533223867416
1686646604.108324,7168,0.02474621869623661
1686646607.486586,7200,0.02554349973797798
1686646610.8623395,7232,0.012411991134285927
1686646614.2347894,7264,0.01574929617345333
